samples,times,losses,model
0,0,0.15649999678134918,No MAB
60000,3,0.9679999947547913,No MAB
120000,5,0.9799000024795532,No MAB
180000,8,0.982699990272522,No MAB
240000,11,0.984000027179718,No MAB
300000,13,0.9840999841690063,No MAB
360000,16,0.9835000038146973,No MAB
420000,19,0.9836000204086304,No MAB
480000,21,0.98580002784729,No MAB
540000,24,0.9850000143051147,No MAB
600000,26,0.9833999872207642,No MAB
660000,29,0.9855999946594238,No MAB
720000,32,0.9848999977111816,No MAB
780000,34,0.9861000180244446,No MAB
840000,37,0.9854999780654907,No MAB
900000,40,0.9854999780654907,No MAB
960000,42,0.9872000217437744,No MAB
1020000,45,0.9876000285148621,No MAB
